task_stage,task_stage_index,comparison_condition,metric,count,mean,median,std,mean_ci95_low,mean_ci95_high,bootstrap_replicates,episode_cluster_count
20–40%,1,Paraphrase,full_action_language_distance,39,0.12469060915676564,0.10511780858484024,0.09762691748619495,0.09840992763664413,0.16546866330330254,2000,10
20–40%,1,Contradictory,translation_language_distance,39,0.1719110340913793,0.12321624496234299,0.13172799843478425,0.13595154556663003,0.21915418806239023,2000,10
20–40%,1,Contradictory,rotation_language_distance,39,0.01899238401873616,0.016497889944367752,0.008126096949587679,0.017791221096708068,0.020264040776864563,2000,10
20–40%,1,Contradictory,gripper_language_difference,39,0.16022055271344307,0.004854261875152366,0.5412137294245579,0.006193838409475328,0.30748571459203955,2000,10
20–40%,1,Contradictory,full_action_language_distance,39,0.30560094121132564,0.12450055876746836,0.5210839455213644,0.1816278499169766,0.4435089435130016,2000,10
20–40%,1,Unrelated,translation_language_distance,39,0.6957216805647085,0.7077518381004453,0.266955375944608,0.617323547016681,0.7641691422669756,2000,10
20–40%,1,Unrelated,rotation_language_distance,39,0.04643279313582596,0.04305982349170234,0.02201571909466254,0.03835830991799945,0.05411388518874623,2000,10
20–40%,1,Unrelated,gripper_language_difference,39,0.881960867307125,0.024040043354034313,1.0036618122988388,0.5615936588123441,1.238300257397663,2000,10
20–40%,1,Unrelated,full_action_language_distance,39,1.3118069176538627,1.0653816004532375,0.7811966127976451,1.0713410521266171,1.5904194117533859,2000,10
40–60%,2,Paraphrase,translation_language_distance,41,0.11469774131027761,0.09719916552132753,0.0636966986564211,0.10226577571640201,0.13093698047805996,2000,10
40–60%,2,Paraphrase,rotation_language_distance,41,0.019166386333590295,0.018699977841691376,0.010326133419997087,0.01614586520230543,0.022150122273314036,2000,10
40–60%,2,Paraphrase,gripper_language_difference,41,0.007617286065729653,0.0048545002937316895,0.013734130019189432,0.005111628007598025,0.011860366724431507,2000,10
40–60%,2,Paraphrase,full_action_language_distance,41,0.11728930930976758,0.09795327029605452,0.06459328180094617,0.10437303052486475,0.13296204052862304,2000,10
40–60%,2,Contradictory,translation_language_distance,41,0.1814578641649879,0.12773192319083898,0.12945615930386598,0.14638189859277692,0.21605956746595617,2000,10
40–60%,2,Contradictory,rotation_language_distance,41,0.023468060980918824,0.023441998098836254,0.012067587558504879,0.019533305397741223,0.027367035861251728,2000,10
40–60%,2,Contradictory,gripper_language_difference,41,0.14966775731342594,0.004702627658843994,0.5198321041108962,0.006304199367084219,0.3008733707293868,2000,10
40–60%,2,Contradictory,full_action_language_distance,41,0.306254647576796,0.13004783338255727,0.49826532184688244,0.1730315595234418,0.4646506583357053,2000,10
40–60%,2,Unrelated,translation_language_distance,41,0.4381851114326188,0.3404312448124002,0.3294879580897185,0.352171238423655,0.518464233116768,2000,10
40–60%,2,Unrelated,rotation_language_distance,41,0.033533044209597164,0.029085829589107173,0.021059164902433317,0.026451879823150407,0.04144446715840727,2000,10
40–60%,2,Unrelated,gripper_language_difference,41,0.3497353734039679,0.01128101348876931,0.7581724205075099,0.15350315352765526,0.5547025790438056,2000,10
40–60%,2,Unrelated,full_action_language_distance,41,0.6772538504329656,0.3416455519324393,0.7328187022382301,0.48098681304346014,0.8717014284041091,2000,10
60–80%,3,Paraphrase,translation_language_distance,39,0.18276867069901354,0.139073957725249,0.1035163358669893,0.16332870940182972,0.20505360478078755,2000,10
60–80%,3,Paraphrase,rotation_language_distance,39,0.01693603130181396,0.015052055850532053,0.006774649601724128,0.015093736356979557,0.019257915725283892,2000,10
60–80%,3,Paraphrase,gripper_language_difference,39,0.15943792691597572,0.004159808158874401,0.5426867035475094,0.006097402200102783,0.3241848141336501,2000,10
60–80%,3,Paraphrase,full_action_language_distance,39,0.31396009236998124,0.14024075547167805,0.5145606991339633,0.18596453887991793,0.4716768643067504,2000,10
60–80%,3,Contradictory,translation_language_distance,39,0.23294932554792278,0.19014172474576665,0.16500986254740546,0.1856683239585113,0.2857985909003797,2000,10
60–80%,3,Contradictory,rotation_language_distance,39,0.018060183070459913,0.014785707091333663,0.014583600646453063,0.01443899023513437,0.021646793497381182,2000,10
60–80%,3,Contradictory,gripper_language_difference,39,0.10555866589912999,0.004195511341094749,0.439257472830237,0.0042312646533554715,0.25045499250292774,2000,10
60–80%,3,Contradictory,full_action_language_distance,39,0.3264412065832093,0.20403484078966333,0.42247358217444836,0.20200275428141268,0.4726517236564999,2000,10
60–80%,3,Unrelated,translation_language_distance,39,0.4225216066866355,0.42983529978877805,0.2325969973917182,0.360739395963537,0.4772718264430635,2000,10
60–80%,3,Unrelated,rotation_language_distance,39,0.033011373476917176,0.02189254590268715,0.03419112914378609,0.02516900176718742,0.04164537751187397,2000,10
60–80%,3,Unrelated,gripper_language_difference,39,0.36779789588390255,0.010479867458343506,0.7762654755812871,0.1636739895129815,0.5726684444607832,2000,10
60–80%,3,Unrelated,full_action_language_distance,39,0.7053749639707663,0.49038273485539285,0.6858478267353421,0.5206305111053785,0.8912737786859416,2000,10
80–100%,4,Paraphrase,translation_language_distance,40,0.1367056735024266,0.11382156765851578,0.08374021959857893,0.12057459348873906,0.1550527892581332,2000,10
80–100%,4,Paraphrase,rotation_language_distance,40,0.014865139128157326,0.013309653764494063,0.006477036223693875,0.012907869319966597,0.016553018138793504,2000,10
80–100%,4,Paraphrase,gripper_language_difference,40,0.1566078811883926,0.004808276891708374,0.5402797077899353,0.0055404048413038144,0.30880325641483064,2000,10
80–100%,4,Paraphrase,full_action_language_distance,40,0.2756367541299746,0.11698065238488839,0.5153464827021538,0.14225249849667584,0.4192518998956965,2000,10
80–100%,4,Contradictory,translation_language_distance,40,0.19482235699932426,0.12194779007781105,0.17898562677240967,0.15038505551756923,0.24750361309901897,2000,10
80–100%,4,Contradictory,rotation_language_distance,40,0.01907522205348152,0.014695215692857162,0.01215369261977074,0.015280149370216666,0.023262481040318788,2000,10
80–100%,4,Contradictory,gripper_language_difference,40,0.25526396185159683,0.0034721791744232178,0.6686373469284431,0.10500722646713256,0.40485869530588386,2000,10
80–100%,4,Contradictory,full_action_language_distance,40,0.3962622351357196,0.12281510756367707,0.6514154434278708,0.2531926737325744,0.5387185302587765,2000,10
80–100%,4,Unrelated,translation_language_distance,40,0.3960864653127965,0.30633166193964767,0.3106191245720943,0.34882556722007535,0.4528057844197636,2000,10
80–100%,4,Unrelated,rotation_language_distance,40,0.02663211502045504,0.02201908483945694,0.016400839461755478,0.021632559218878397,0.03152072525498618,2000,10
80–100%,4,Unrelated,gripper_language_difference,40,0.8076636046171188,0.017657965421676636,0.9871181756549147,0.6108570675924421,1.0039096749201417,2000,10
80–100%,4,Unrelated,full_action_language_distance,40,0.979345057513893,0.34501197121424154,0.9581896107385516,0.8273314957466651,1.158987001980864,2000,10
