episode_id,task_stage,task_stage_index,comparison_condition,metric,count,mean,median,std
3,0–20%,0,Contradictory,translation_language_distance,4,0.2680862847012396,0.2665468963676188,0.08294677790953814
4,0–20%,0,Contradictory,translation_language_distance,4,0.1644183307992847,0.16699946274153793,0.0609776070998098
5,0–20%,0,Contradictory,translation_language_distance,4,0.19079463467652832,0.13181261087824858,0.1604147366393322
6,0–20%,0,Contradictory,translation_language_distance,4,0.23876081783041736,0.16681154824618494,0.18154886614549354
7,0–20%,0,Contradictory,translation_language_distance,5,0.23011354878263637,0.2445852823910108,0.11411916633472871
8,0–20%,0,Contradictory,translation_language_distance,4,0.3303181233973781,0.24753278784174773,0.20229767864642212
9,0–20%,0,Contradictory,translation_language_distance,4,0.3185863613987391,0.35048016925815506,0.18451134645541667
0,0–20%,0,Contradictory,rotation_language_distance,4,0.018505372826995704,0.014593779240647437,0.010820017292339645
1,0–20%,0,Contradictory,rotation_language_distance,4,0.019388611581762454,0.014979384672349676,0.01516906081594573
2,0–20%,0,Contradictory,rotation_language_distance,4,0.017702072674745002,0.013739874128453672,0.01142843023153866
3,0–20%,0,Contradictory,rotation_language_distance,4,0.011580396302220297,0.011246910961156495,0.0023677657048832485
4,0–20%,0,Contradictory,rotation_language_distance,4,0.009567969546415554,0.008228484358220189,0.008202162763233916
5,0–20%,0,Contradictory,rotation_language_distance,4,0.02128397313290604,0.018915268884859154,0.018177182060251602
6,0–20%,0,Contradictory,rotation_language_distance,4,0.016173426030795274,0.01569373473540814,0.006623781824792043
7,0–20%,0,Contradictory,rotation_language_distance,5,0.020568950920502378,0.019515057858254078,0.007405291698824019
8,0–20%,0,Contradictory,rotation_language_distance,4,0.018092837286895074,0.02020811034059552,0.00834335245613854
